,text,label
0,i didnt feel humiliated,0
1,i can go from feeling so hopeless to so damned hopeful just from being around someone who cares and is awake,0
2,im grabbing a minute to post i feel greedy wrong,3
3,i am ever feeling nostalgic about the fireplace i will know that it is still on the property,2
4,i am feeling grouchy,3
5,ive been feeling a little burdened lately wasnt sure why that was,0
6,ive been taking or milligrams or times recommended amount and ive fallen asleep a lot faster but i also feel like so funny,5
7,i feel as confused about life as a teenager or as jaded as a year old man,4
8,i have been with petronas for years i feel that petronas has performed well and made a huge profit,1
9,i feel romantic too,2
10,i feel like i have to make the suffering i m seeing mean something,0
11,i do feel that running is a divine experience and that i can expect to have some type of spiritual encounter,1
12,i think it s the easiest time of year to feel dissatisfied,3
13,i feel low energy i m just thirsty,0
14,i have immense sympathy with the general point but as a possible proto writer trying to find time to write in the corners of life and with no sign of an agent let alone a publishing contract this feels a little precious,1
15,i do not feel reassured anxiety is on each side,1
16,i didnt really feel that embarrassed,0
17,i feel pretty pathetic most of the time,0
18,i started feeling sentimental about dolls i had as a child and so began a collection of vintage barbie dolls from the sixties,0
19,i now feel compromised and skeptical of the value of every unit of work i put in,4
20,i feel irritated and rejected without anyone doing anything or saying anything,3
21,i am feeling completely overwhelmed i have two strategies that help me to feel grounded pour my heart out in my journal in the form of a letter to god and then end with a list of five things i am most grateful for,4
22,i have the feeling she was amused and delighted,1
23,i was able to help chai lifeline with your support and encouragement is a great feeling and i am so glad you were able to help me,1
24,i already feel like i fucked up though because i dont usually eat at all in the morning,3
25,i still love my so and wish the best for him i can no longer tolerate the effect that bm has on our lives and the fact that is has turned my so into a bitter angry person who is not always particularly kind to the people around him when he is feeling stressed,0
26,i feel so inhibited in someone elses kitchen like im painting on someone elses picture,0
27,i become overwhelmed and feel defeated,0
28,i feel kinda appalled that she feels like she needs to explain in wide and lenghth her body measures etc pp,3
29,i feel more superior dead chicken or grieving child,1
30,i get giddy over feeling elegant in a perfectly fitted pencil skirt,1
31,i remember feeling acutely distressed for a few days,4
32,i have seen heard and read over the past couple of days i am left feeling impressed by more than a few companies,5
33,i climbed the hill feeling frustrated that id pretty much paced entirely wrong for this course and that a factor that has never ever hampered me had made such a dent in the day,3
34,i can t imagine a real life scenario where i would be emotionally connected enough with someone to feel totally accepted and safe where it it morally acceptable for me to have close and prolonged physical contact and where sex won t be expected subsequently,1
35,i am not sure what would make me feel content if anything,1
36,i have been feeling the need to be creative,1
37,i do however want you to know that if something someone is causing you to feel less then your splendid self step away from them,1
38,i feel a bit rude writing to an elderly gentleman to ask for gifts because i feel a bit greedy but what is christmas about if not mild greed,3
39,i need you i need someone i need to be protected and feel safe i am small now i find myself in a season of no words,1
40,i plan to share my everyday life stories traveling adventures inspirations and handmade creations with you and hope you will also feel inspired,1
41,i already have my christmas trees up i got two and am feeling festive which i m sure is spurring me to get started on this book,1
